language,level,context,subcontext,dialogue_txt,side,order_id,special_words
Spanish,A1,Ordering food and drink,Takeaway,Hi there. Do you have a table for 2?,A,1,
Spanish,A1,Ordering food and drink,Takeaway,Good evening. Do you have a reservation with us?,B,2,reservación
Spanish,A1,Ordering food and drink,Takeaway,I'm sorry I don't. ,A,3,
Spanish,A1,Ordering food and drink,Takeaway,I'm afraid we're very busy tonight so there are no free tables. Would you like to wait or come back later?,B,4,
Spanish,A1,Ordering food and drink,Takeaway,How long is the wait for a table? I am very hungry. ,A,5,espera
Spanish,A1,Ordering food and drink,Takeaway,It is about one hour. I'm sorry about that. Would you like to order your food for takeaway instead? ,B,6,sobre/llevar
Spanish,A1,Ordering food and drink,Takeaway,Yes please. I will have two burgers and two portions of fries. Oh and two large drinks. Thank you very much.,A,7,
Spanish,A1,Ordering food and drink,Takeaway,No problem. Your food should be here soon. Have a nice evening!,B,8,
Spanish,A1,Ordering food and drink,Takeaway,You too. ,A,9,
Spanish,A1,Exchanging personal information,Social Media,Hi Peter. How was your weekend?,A,1,
Spanish,A1,Exchanging personal information,Social Media,Hi. It was good thank you. I met a nice girl.,B,2,
Spanish,A1,Exchanging personal information,Social Media,Oh really? What is she like? Did you get her Snapchat?,A,3,
Spanish,A1,Exchanging personal information,Social Media,She doesn't use Snapchat. She's very pretty. She has long brown hair and big green eyes. I like her. ,B,4,usa
Spanish,A1,Exchanging personal information,Social Media,I want to see her. What's her name? I'll look her up on Instagram. ,A,5,
Spanish,A1,Exchanging personal information,Social Media,You can try. Her name is Natalia Black.,B,6,
Spanish,A1,Exchanging personal information,Social Media,"I found her! Wow, she is beautiful. I'm happy for you!",A,7,
Spanish,A1,Exchanging personal information,Social Media,I am happy too. And thank you. ,B,8,
Spanish,A1,Going shopping and asking for prices,Payment,Hi there. May I pay for these items please?,A,1,
Spanish,A1,Going shopping and asking for prices,Payment,"Hello, yes of course. Your total is £35. Will you be paying by cash or card?",B,2,en efectivo/en tarjeta
Spanish,A1,Going shopping and asking for prices,Payment,"Card, please. ",A,3,
Spanish,A1,Going shopping and asking for prices,Payment,No problem. You can insert or touch your card to the machine. ,B,4,insertar/tocar
Spanish,A1,Going shopping and asking for prices,Payment,Thank you. ,A,5,
Spanish,A1,Going shopping and asking for prices,Payment,I'm sorry your card hasn't worked. Can you try again?,B,6,no ha funcionado
Spanish,A1,Going shopping and asking for prices,Payment,I'm sorry about that. I will use my PIN.,A,7,PIN
Spanish,A1,Going shopping and asking for prices,Payment,That is all done. Thank you for shopping with us. Have a good day!,B,8,
Spanish,A1,Going shopping and asking for prices,Payment,Have a good day! Goodbye. ,A,9,
Spanish,A1,Making Appointments,Booking,"Hello, can I make an appointment for tomorrow. ",A,1,cita
Spanish,A1,Making Appointments,Booking,"No problem, what time would you like to book?",B,2,reservar
Spanish,A1,Making Appointments,Booking,2pm.,A,3,
Spanish,A1,Making Appointments,Booking,"I'm sorry, that time is not available. We have 10am and 5pm.",B,4,disponible
Spanish,A1,Making Appointments,Booking,"Sorry, those times aren't good. Do you have 2pm the day after tomorrow?",A,5,
Spanish,A1,Making Appointments,Booking,"Yes, it's available. I will book that for you.",B,6,
Spanish,A1,Making Appointments,Booking,"Perfect, thank you.",A,7,
Spanish,A1,Introductions,Repeat name,"Hello, my name is Danielle.",A,1,
Spanish,A1,Introductions,Repeat name,"Hello Danielle, my name is Michael.",B,2,
Spanish,A1,Introductions,Repeat name,"Sorry I didn't hear you, can you repeat that?",A,3,repetir
Spanish,A1,Introductions,Repeat name,My name is Michael.,B,4,
Spanish,A1,Introductions,Repeat name,Michael?,A,5,
Spanish,A1,Introductions,Repeat name,"Yes, it's Michael.",B,6,
Spanish,A1,Introductions,Repeat name,It's nice to meet you Michael.,A,7,
Spanish,A1,Introductions,Repeat name,It's nice to meet you too.,B,8,
Spanish,A1,Basic employment issues,Cover,"Hello, is the manager there?",A,1,"jefe, a"
Spanish,A1,Basic employment issues,Cover,"They will arrive in an hour, do you want to call back or I can take a message?",B,2,llamar de nuevo  / darle el mensaje
Spanish,A1,Basic employment issues,Cover,Can you tell them that I am sick and can't come to work today.,A,3,
Spanish,A1,Basic employment issues,Cover,What's the matter?,B,4,
Spanish,A1,Basic employment issues,Cover,I've got a cold.,A,5,Tengo un resfriado
Spanish,A1,Basic employment issues,Cover,Did you find cover?,B,6,encontraste una sustitución
Spanish,A1,Basic employment issues,Cover,Not yet.,A,7,
Spanish,A1,Basic employment issues,Cover,"Send a message in the group chat, hopefully someone can cover your shift.",B,8,Envía un mensaje al grupo de chat / turno
Spanish,A1,Basic employment issues,Cover,"I will do that now, thank you.",A,9,
Spanish,A1,Basic employment issues,Cover,"Well, I hope you get well soon.",B,10,
Spanish,A1,Basic employment issues,Cover,"Thank you, speak to you soon. Goodbye.",A,11,
Spanish,A1,Basic employment issues,Cover,Goodbye.,B,12,
Spanish,A1,Going shopping and asking for prices,Refund,Hello there. I would like a refund for these items please. ,A,1,reembolso / artículos
Spanish,A1,Going shopping and asking for prices,Refund,"Hi there. Unfortunately, these items look like they have been used. I can offer an exchange or a gift voucher instead.",B,2,desgraciadamente / usados / intercambio / vale regalo
Spanish,A1,Going shopping and asking for prices,Refund,That will not work. I want my money back.,A,3,
Spanish,A1,Going shopping and asking for prices,Refund,We cannot offer a refund for used items. You can exchange it for another item or I can issue you a gift voucher. ,B,4,
Spanish,A1,Going shopping and asking for prices,Refund,Fine. But I will take this up with your manager. ,A,5,"jefe,a"
Spanish,A1,Going shopping and asking for prices,Refund,I am the manager. ,B,6,
Spanish,A1,Going shopping and asking for prices,Refund,"Oh. Well, in that case I will just take the gift voucher. Thank you and have a good day. ",A,7,
Spanish,A1,Going shopping and asking for prices,Refund,You too. Bye! ,B,8,
Spanish,A2,Asking and giving directions,Delivery Driver,Hello there. Is this Mary?,A,1,
Spanish,A2,Asking and giving directions,Delivery Driver,"Hi, yes it is. Who's speaking?",B,2,
Spanish,A2,Asking and giving directions,Delivery Driver,"This is John, the delivery driver. I am having trouble finding your apartment. ",A,3,"conductor,a de reparto  / tengo un problema"
Spanish,A2,Asking and giving directions,Delivery Driver,"Yes it can be a little tricky. Go past the big black gates, turn left at the statue and you should see my building. I live on the 4th floor so I would recommend taking the lift.",B,4,complicado / verjas / estatua / recomendaría / ascensor
Spanish,A2,Asking and giving directions,Delivery Driver,I can't see a statue. Are you sure it's correct?,A,5,
Spanish,A2,Asking and giving directions,Delivery Driver,"It is a big stone statue, round and grey in colour. ",B,6,piedra / redonda
Spanish,A2,Asking and giving directions,Delivery Driver,"Oh yes, I see it. I will be there soon. Goodbye!",A,7,
Spanish,A2,Asking and giving directions,Delivery Driver,See you soon. Goodbye!,B,8,
Spanish,A2,Ordering food and drink,Vegan pizza,Hi excuse me? I think I have the wrong order. ,A,1,pedido incorrecto
Spanish,A2,Ordering food and drink,Vegan pizza,"Hi there, what seems to be the problem?",B,2,
Spanish,A2,Ordering food and drink,Vegan pizza,I asked for a vegan pizza and this seems to have cheese and meat all over it.,A,3,vegana
Spanish,A2,Ordering food and drink,Vegan pizza,I'm so sorry about that there must have been a mix up. I will bring you a new one immediately. ,B,4,confusión
Spanish,A2,Ordering food and drink,Vegan pizza,That is not good enough. My friends and I have been waiting over an hour already. I want a new pizza and my money back.,A,5,Eso no es suficiente / esperando sobre
Spanish,A2,Ordering food and drink,Vegan pizza,I will see if I can get that done for you. And please accept our sincere apologies.,B,6,acepte nuestras más sinceras disculpas 
Spanish,A2,Ordering food and drink,Vegan pizza,"Apology accepted. Now please hurry up, I am starving. ",A,7,"dese prisa / muerto,a de hambre"
Spanish,A2,Ordering food and drink,Vegan pizza,I will let the kitchen know and your pizza should be with you as soon as possible. ,B,8,cocina
Spanish,A2,Ordering food and drink,Vegan pizza,Thank you. ,A,9,
Spanish,A1,Socialising in the country,Interview arrangements,Hi Derreck. How was your weekend?,A,1,
Spanish,A1,Socialising in the country,Interview arrangements,"Hi Pete. Well, I actually secured a job interview for this admin role. I'm so excited!",B,2,conseguido una entrevista de trabajo / papel administrativo
Spanish,A1,Socialising in the country,Interview arrangements,That is great news! Give me all the details.,A,3,
Spanish,A1,Socialising in the country,Interview arrangements,"Well, the interview is at 10:00 tomorrow. The dress code is smart-casual so I need to wear a shirt and jeans. ",B,4,código de vestir / informal
